event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
node-stores,std,node-stores_std,0.4032,0.4032,Moderate,0.0,Highly Significant,1.4216,Low,42.1604,147373.943,209507.3707,0.9491,Large,0.0,Significant
LLC-store,std,LLC-store_std,0.3938,0.3938,Weak,0.0,Highly Significant,1.4347,Low,43.4674,268971.4736,385886.3382,0.9229,Large,0.0,Significant
cache-misses,std,cache-misses_std,0.3812,0.3812,Weak,0.0,Highly Significant,1.3339,Low,33.3889,811184.4748,1082029.9606,0.8881,Large,0.0,Significant
node-stores,mean,node-stores_mean,0.371,0.371,Weak,0.0,Highly Significant,1.8075,Moderate,80.7466,113555.2487,205247.2029,0.8607,Large,0.0,Significant
LLC-store-misses,std,LLC-store-misses_std,0.3702,0.3702,Weak,0.0,Highly Significant,1.4202,Low,42.0213,157612.4724,223843.289,0.8585,Large,0.0,Significant
LLC-store,mean,LLC-store_mean,0.367,0.367,Weak,0.0,Highly Significant,1.9028,Moderate,90.2799,201799.1257,383983.2352,0.8499,Large,0.0,Significant
LLC-store-misses,mean,LLC-store-misses_mean,0.3606,0.3606,Weak,0.0,Highly Significant,1.7614,Moderate,76.1412,114225.9113,201198.9058,0.8329,Large,0.0,Significant
cpu-cycles,med,cpu-cycles_med,0.3382,0.3382,Weak,0.0,Highly Significant,4.3005,High,330.0455,31311585.4538,134654071.2055,0.7743,Medium,0.0,Significant
node-loads,std,node-loads_std,0.3376,0.3376,Weak,0.0,Highly Significant,1.3258,Low,32.5802,60735.6732,80523.4821,0.7727,Medium,0.0,Significant
LLC-load-misses,std,LLC-load-misses_std,0.3212,0.3212,Weak,0.0,Highly Significant,1.2926,Low,29.2649,64663.0408,83586.5934,0.7306,Medium,0.0,Significant
LLC-store,med,LLC-store_med,0.3177,0.3177,Weak,0.0,Highly Significant,5.7616,High,476.1584,35796.6134,206245.2081,0.7217,Medium,0.0,Significant
node-loads,mean,node-loads_mean,0.3128,0.3128,Weak,0.0,Highly Significant,1.4723,Low,47.226,66189.8459,97448.692,0.7096,Medium,0.0,Significant
cache-misses,mean,cache-misses_mean,0.3072,0.3072,Weak,0.0,Highly Significant,1.5382,Moderate,53.8226,896100.8339,1378405.7401,0.6954,Medium,0.0,Significant
cache-references,mean,cache-references_mean,0.3065,0.3065,Weak,0.0,Highly Significant,2.395,High,139.5,1803731.3311,4319936.4341,0.6936,Medium,0.0,Significant
LLC-store-misses,med,LLC-store-misses_med,0.3,0.3,Weak,0.0,Highly Significant,5.3113,High,431.1341,17397.4566,92403.8316,0.6775,Medium,0.0,Significant
L1-icache-load-misses,mean,L1-icache-load-misses_mean,0.2982,0.2982,Weak,0.0,Highly Significant,3.1224,High,212.2397,523899.1779,1635821.4655,0.6729,Medium,0.0,Significant
bus-cycles,std,bus-cycles_std,-0.296,0.296,Weak,0.0,Highly Significant,0.7376,Low,-26.2363,632229.0942,466355.8493,-0.6677,Medium,0.0,Significant
node-stores,med,node-stores_med,0.2954,0.2954,Weak,0.0,Highly Significant,4.9442,High,394.4193,20763.7717,102660.0883,0.666,Medium,0.0,Significant
iTLB-loads,mean,iTLB-loads_mean,0.2903,0.2903,Weak,0.0,Highly Significant,4.2602,High,326.0156,13828.9248,58913.3813,0.6536,Medium,0.0,Significant
L1-dcache-stores,med,L1-dcache-stores_med,0.2856,0.2856,Weak,0.0,Highly Significant,4.244,High,324.4027,4355769.4342,18486004.121,0.642,Medium,0.0,Significant
cpu-cycles,mean,cpu-cycles_mean,0.2855,0.2855,Weak,0.0,Highly Significant,2.125,High,112.5004,66722063.6242,141784632.0757,0.6417,Medium,0.0,Significant
dTLB-stores,med,dTLB-stores_med,0.2847,0.2847,Weak,0.0,Highly Significant,4.2525,High,325.2487,4314136.0476,18345805.975,0.6399,Medium,0.0,Significant
LLC-load-misses,mean,LLC-load-misses_mean,0.282,0.282,Weak,0.0,Highly Significant,1.4061,Low,40.6149,65798.5642,92522.5736,0.6331,Medium,0.0,Significant
cache-references,med,cache-references_med,0.2767,0.2767,Weak,0.0,Highly Significant,3.4384,High,243.844,1006804.4188,3461836.2702,0.6203,Medium,0.0,Significant
cache-references,std,cache-references_std,0.276,0.276,Weak,0.0,Highly Significant,1.629,Moderate,62.8978,1834375.4284,2988157.8773,0.6186,Medium,0.0,Significant
bus-cycles,med,bus-cycles_med,0.2758,0.2758,Weak,0.0,Highly Significant,2.0362,High,103.6169,536898.6317,1093216.3886,0.6181,Medium,0.0,Significant
cache-misses,med,cache-misses_med,0.2749,0.2749,Weak,0.0,Highly Significant,2.144,High,114.3986,432241.2563,926719.0525,0.6159,Medium,0.0,Significant
L1-icache-load-misses,med,L1-icache-load-misses_med,0.2743,0.2743,Weak,0.0,Highly Significant,4.0097,High,300.9739,327517.3641,1313259.1018,0.6146,Medium,0.0,Significant
iTLB-loads,med,iTLB-loads_med,0.2707,0.2707,Weak,0.0,Highly Significant,6.2445,High,524.4534,7147.1863,44630.8476,0.6058,Medium,0.0,Significant
LLC-loads,mean,LLC-loads_mean,0.2686,0.2686,Weak,0.0,Highly Significant,2.1505,High,115.052,148941.4561,320301.5993,0.6008,Medium,0.0,Significant
L1-dcache-load-misses,mean,L1-dcache-load-misses_mean,0.2664,0.2664,Weak,0.0,Highly Significant,2.0091,High,100.9066,681180.8631,1368537.5033,0.5953,Medium,0.0,Significant
