event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_atom_branch-load-misses_,mean,cpu_atom_branch-load-misses__mean,-0.3287,0.3287,弱相关,0.0,极显著,0.5376,低差异,-46.2386,1278593.7888,687390.0663,-0.7498,中等效应,0.0,显著
cpu_atom_branch-load-misses_,std,cpu_atom_branch-load-misses__std,-0.8415,0.8415,强相关,0.0,极显著,0.2182,低差异,-78.182,2737945.4441,597365.7915,-3.3557,大效应,0.0,显著
cpu_atom_branch-load-misses_,max,cpu_atom_branch-load-misses__max,-0.8297,0.8297,强相关,0.0,极显著,0.1853,低差异,-81.4714,17434792.9412,3230421.6434,-3.2015,大效应,0.0,显著
cpu_atom_branch-load-misses_,med,cpu_atom_branch-load-misses__med,0.1899,0.1899,弱相关,0.0,极显著,2.4489,高差异,144.8869,211951.3221,519041.112,0.4168,小效应,0.0,显著
cpu_atom_branch-loads_,mean,cpu_atom_branch-loads__mean,-0.0546,0.0546,弱相关,0.00912,显著,0.8894,低差异,-11.0595,32090024.9783,28541027.0984,-0.1179,小效应,0.010214399999999998,显著
cpu_atom_branch-loads_,std,cpu_atom_branch-loads__std,-0.5116,0.5116,中等相关,0.0,极显著,0.4597,低差异,-54.0348,57365542.4248,26368176.6765,-1.2827,大效应,0.0,显著
cpu_atom_branch-loads_,max,cpu_atom_branch-loads__max,-0.5918,0.5918,中等相关,0.0,极显著,0.3939,低差异,-60.6117,332077574.7073,130799757.3195,-1.5815,大效应,0.0,显著
cpu_atom_branch-loads_,med,cpu_atom_branch-loads__med,0.1985,0.1985,弱相关,0.0,极显著,2.532,高差异,153.1951,7937333.584,20096943.0352,0.4363,小效应,0.0,显著
cpu_atom_branch-misses_,mean,cpu_atom_branch-misses__mean,-0.0302,0.0302,弱相关,0.150132,不显著,0.9296,低差异,-7.0447,742698.0212,690377.334,-0.065,小效应,0.15963402531645568,不显著
cpu_atom_branch-misses_,std,cpu_atom_branch-misses__std,-0.5176,0.5176,中等相关,0.0,极显著,0.4024,低差异,-59.7644,1504522.5117,605353.9403,-1.3031,大效应,0.0,显著
cpu_atom_branch-misses_,max,cpu_atom_branch-misses__max,-0.5603,0.5603,中等相关,0.0,极显著,0.3501,低差异,-64.9873,9341418.8109,3270687.388,-1.4574,大效应,0.0,显著
cpu_atom_branch-misses_,med,cpu_atom_branch-misses__med,0.2028,0.2028,弱相关,0.0,极显著,2.8039,高差异,180.3887,183136.395,513493.6933,0.4462,小效应,0.0,显著
cpu_atom_branches_,mean,cpu_atom_branches__mean,0.1092,0.1092,弱相关,0.0,显著,1.3359,低差异,33.5889,21195670.5073,28315066.1229,0.2366,小效应,0.0,显著
cpu_atom_branches_,std,cpu_atom_branches__std,-0.1898,0.1898,弱相关,0.0,极显著,0.7206,低差异,-27.9352,36238402.417,26115145.9983,-0.4165,小效应,0.0,显著
