,branch-load-misses_mean,branch-load-misses_std,branch-load-misses_max,branch-load-misses_med,branch-loads_mean,branch-loads_std,branch-loads_max,branch-loads_med,branch-misses_mean,branch-misses_std,branch-misses_max,branch-misses_med,branches_mean,branches_std,branches_max,branches_med,bus-cycles_mean,bus-cycles_std,bus-cycles_max,bus-cycles_med,cache-misses_mean,cache-misses_std,cache-misses_max,cache-misses_med,cache-references_mean,cache-references_std,cache-references_max,cache-references_med,cpu-cycles_mean,cpu-cycles_std,cpu-cycles_max,cpu-cycles_med,dTLB-load-misses_mean,dTLB-load-misses_std,dTLB-load-misses_max,dTLB-load-misses_med,dTLB-loads_mean,dTLB-loads_std,dTLB-loads_max,dTLB-loads_med,dTLB-store-misses_mean,dTLB-store-misses_std,dTLB-store-misses_max,dTLB-store-misses_med,dTLB-stores_mean,dTLB-stores_std,dTLB-stores_max,dTLB-stores_med,instructions_mean,instructions_std,instructions_max,instructions_med,iTLB-load-misses_mean,iTLB-load-misses_std,iTLB-load-misses_max,iTLB-load-misses_med,iTLB-loads_mean,iTLB-loads_std,iTLB-loads_max,iTLB-loads_med,L1-dcache-load-misses_mean,L1-dcache-load-misses_std,L1-dcache-load-misses_max,L1-dcache-load-misses_med,L1-dcache-loads_mean,L1-dcache-loads_std,L1-dcache-loads_max,L1-dcache-loads_med,L1-dcache-stores_mean,L1-dcache-stores_std,L1-dcache-stores_max,L1-dcache-stores_med,L1-icache-load-misses_mean,L1-icache-load-misses_std,L1-icache-load-misses_max,L1-icache-load-misses_med,LLC-load-misses_mean,LLC-load-misses_std,LLC-load-misses_max,LLC-load-misses_med,LLC-loads_mean,LLC-loads_std,LLC-loads_max,LLC-loads_med,LLC-store-misses_mean,LLC-store-misses_std,LLC-store-misses_max,LLC-store-misses_med,LLC-store_mean,LLC-store_std,LLC-store_max,LLC-store_med,node-loads_mean,node-loads_std,node-loads_max,node-loads_med,node-stores_mean,node-stores_std,node-stores_max,node-stores_med
branch-load-misses_mean,,0.5569397217275242,0.649496077502577,0.8958585365129347,0.446178040879171,0.23510793345548728,0.28603116034909226,0.4260983276657517,0.9999999999740421,0.5569412688500269,0.6494831192404737,0.895861510920884,0.4427108370989232,0.21793912162845722,0.23471200359003316,0.42322595580998135,0.7606102762105076,0.1315147726407955,0.5346983063646406,0.7301609093109889,0.3599800607803437,0.41079774323456886,0.3097680593043215,0.305780203928911,0.3456925255606662,0.36917744641317923,0.35873126123418614,0.2877075649009944,0.7901216677569471,0.319002244591272,0.5227359372275471,0.7252830872338932,0.15253764115635493,0.1842079351059012,0.17435104181181288,0.13228610259773255,0.47929229181951866,0.3148942135341045,0.354916781590093,0.4397576306471035,0.1843689721506287,0.22235042229588053,0.19783524344687195,0.15739790977954993,0.613593159706109,0.29897088540406347,0.3498510458994212,0.5959193198762085,0.48843897457742086,0.27020838251142126,0.281265897540092,0.4705441790414095,0.16144480930349447,0.1710352043224951,0.152944559599915,0.13382714085902714,0.39963084043319064,0.4051563694393767,0.40594102242522134,0.3032246640887907,0.32916290902856443,0.3541970933402235,0.3173431569870102,0.28857177018298324,0.4800201700468005,0.3064735681616119,0.34096705936984917,0.44589674810117697,0.6152788459144687,0.28665269972975965,0.33101434608489316,0.598343558689782,0.36406857376730406,0.3586002390051479,0.3511419143650563,0.2916332375578462,0.3226603063641582,0.28953203084607637,0.1774071854031666,0.2768173778522193,0.31169391463357643,0.33417590819498827,0.3025872604224248,0.26427341606887156,0.3267033405052867,0.3897617596164663,0.29046349616202644,0.23231930172447865,0.3515682758465632,0.4204658841481623,0.32444088694431394,0.28073162870127677,0.3266840898898117,0.2523037024616134,0.1841211231221947,0.2948803000227231,0.31118403879884843,0.3642382378638173,0.25474086996380224,0.2450650314740727
branch-load-misses_std,0.5569397217275242,,0.8747501178875103,0.21564624274877364,0.22285843902733007,0.5033630133688276,0.3807238053212035,0.15292985401870088,0.5569422398597492,0.9999999984685924,0.8747428884304758,0.21565292726070762,0.22137838675765983,0.4819194444384893,0.3169169475237278,0.1523126228345817,0.409357372790929,0.7113379960526801,0.5457213514193776,0.35046031990370025,0.16401907339862407,0.18117455043008351,0.2252774886455863,0.16585259617469153,0.15926649085323924,0.2948703482330357,0.3368136216742043,0.11855591374693301,0.4015095674830532,0.7844199364549131,0.5695283297602909,0.27085760087689753,0.08917416520005249,0.19509762725717664,0.21013565199998976,0.06835960975200239,0.31432504310507764,0.6081300054953717,0.4662657588635622,0.19324654298652935,0.10795684390770588,0.1839369901402946,0.20004495044474638,0.10072139672899894,0.3154217458268776,0.5193738275733949,0.4034156507709618,0.22498875810942012,0.2883552086208567,0.5495371003485474,0.3744113855611373,0.2072378614743686,0.09091292320386196,0.20260531227552428,0.2063759222252525,0.05636774573618414,0.14663512413479582,0.2733556835046192,0.2901497399412825,0.04177384648494566,0.18710256386972599,0.35883615033127453,0.4429354486871696,0.161178694646187,0.3141293366478651,0.5936691866149987,0.4480529099223791,0.1969974462570017,0.3156606269381794,0.5020849334640881,0.3791150218022363,0.22915597116637546,0.17296344371962813,0.31627335248181326,0.3257466915752444,0.08549529528634132,0.16203059533334294,0.11508718366306621,0.11245144908775784,0.16867184074470706,0.16980952150511078,0.3517622326199496,0.420471094436297,0.11971981301199451,0.13670655434703707,0.17721967187949025,0.21857213002118195,0.11762676596651063,0.14203497192303993,0.1893744708092276,0.2209273580833647,0.13764165388778923,0.1505346964606274,0.08534426238355076,0.15332654367668078,0.1764050997071638,0.12305490847011337,0.1444541521403851,0.19742743156018408,0.13756080903387552
branch-load-misses_max,0.649496077502577,0.8747501178875103,,0.3856560767952621,0.33201519969964693,0.485127762342589,0.4893679623625596,0.2656468433047146,0.6494983281950578,0.8747550556538347,0.9999999539578948,0.38566156371070415,0.3276255013108629,0.45453851690659663,0.39720613667518145,0.26383039320228263,0.5615636033461878,0.548912987066732,0.6684617642615698,0.4992498901641647,0.2940600513800649,0.276350139697229,0.3122275176525185,0.286053117594228,0.29054454485068987,0.3665011374078647,0.43168248553227767,0.2522410680000552,0.5454056167642644,0.6817202748144725,0.6995462386082546,0.42698126371202877,0.1854898185411167,0.2744582226489804,0.3147614940137965,0.15678709658145087,0.40610599377015755,0.5940845760019418,0.5542929560095117,0.298356400568542,0.2176552969614818,0.26517373147607914,0.27959124922842565,0.20208427325923412,0.4375695857638396,0.5243798323534143,0.5009787091952335,0.3533041568272447,0.3947099611633462,0.5439274016474227,0.46846516807001287,0.31710976388697143,0.19306598064829178,0.28459580615431607,0.29215862050323105,0.14649318914619153,0.2657265573580961,0.341507045863834,0.3659378830876438,0.17880523290814793,0.3065110917320854,0.4052011123862503,0.4892016900662301,0.27565254167311265,0.407555122228623,0.5812332405391403,0.5339038635015315,0.30395657125577713,0.4396591707122976,0.5081028936820239,0.4764072048308225,0.3579951533922168,0.29512406216942977,0.3873030873914465,0.4345685795539133,0.2146637088384971,0.27807012400365483,0.19108596527095437,0.16767752745632947,0.27925621191866307,0.2932940133484776,0.41409360412430246,0.4808276124652548,0.24558229331155979,0.2580873621115526,0.2797882541649725,0.3033114920352176,0.23028152625107845,0.26889462219753896,0.2719635554258765,0.304483202351073,0.26275942941184094,0.2710479301756067,0.15069300508812888,0.2034387222472667,0.28825424610059297,0.24427019479494766,0.23060420615002963,0.2658864503452648,0.2541346534587197
branch-load-misses_med,0.8958585365129347,0.21564624274877364,0.38565607679526215,,0.422613849161436,0.07729203821685489,0.19107420255392263,0.4379849347259636,0.8958575946376427,0.21564802547127407,0.38564503004715317,0.9999999408653588,0.4188694643904373,0.0650883074410357,0.15585937217757317,0.43427195409039004,0.7031510923333937,-0.14948330208513,0.38752558842738044,0.7156927916230168,0.36569534616833754,0.4067734623965335,0.27423108214129627,0.30465224426005777,0.34115713364766964,0.3005201052807494,0.2791410246766901,0.3017778279037985,0.7387788544827394,0.03332811288474174,0.36518904569604166,0.7515172612403991,0.14388318697522212,0.1395531765843859,0.13066151622576247,0.12941087506052382,0.4279192674411645,0.11375745296653977,0.2266824760460276,0.45139223453121746,0.17660896734425105,0.18261423774229554,0.1477932145206813,0.14900781373216382,0.5763910502332873,0.1541361128987467,0.263729752679933,0.6095474613274938,0.44946590646344,0.09242270067930211,0.17869785270477886,0.47718999252818367,0.15404758768236607,0.12271483671143149,0.10258060827853308,0.13647171919416787,0.4008691291146078,0.35922530545109976,0.36919762285842683,0.345004860970645,0.31090964304219737,0.25791649990227244,0.18117445975088703,0.28055157243017526,0.4284027142120614,0.11119435178883891,0.21740797423488642,0.4581087416347901,0.5776416774183499,0.14859729243155306,0.25253207551374585,0.6096554608681772,0.3580213985479343,0.28944074820477383,0.282470033965399,0.32384830982179197,0.32510011123966087,0.2970362172655112,0.16576561555198557,0.2703340481717882,0.2972815278581589,0.23827830967000677,0.1766331398187767,0.270783438841095,0.3366836219056111,0.38565638888894316,0.24704423206725493,0.23498364667973712,0.3586750822928706,0.41082291735707654,0.2865112617472363,0.2796065048625584,0.3351701163454202,0.2667221338625816,0.1578323826787527,0.2882515328370314,0.3242040592521304,0.3673970439240593,0.21721933545360925,0.2428273963954371
branch-loads_mean,0.446178040879171,0.22285843902733007,0.332015199699647,0.4226138491614361,,0.7165948535672951,0.7699144060558017,0.9815083192914086,0.44617764882180505,0.22285949172575384,0.3320090342743785,0.42261778239507275,0.9951924459613538,0.7069740463449119,0.7276758844106327,0.976592133383186,0.659509725853397,-0.05706914201306176,0.41804980790502394,0.641566927342275,0.353454652813242,0.3464007338433063,0.2988815657705246,0.3180615143738894,0.343890233887978,0.3128530510122644,0.32733767398156133,0.32458748851454355,0.685108537205797,0.11111734859326843,0.3982920292445515,0.6542989808056575,0.17073552578646944,0.1865840136552948,0.2050445010324144,0.153644008987022,0.8862744609888953,0.5657231793867934,0.6729505843064029,0.8743493204572051,0.20409491672557456,0.2230295833030165,0.20552702061978148,0.1841123509412798,0.5375357627152427,0.38422058010257265,0.4609256306451423,0.5117334280634895,0.8944731229855953,0.5172594869315283,0.5598691368662247,0.8789145438349278,0.1851800418773352,0.21813921444332596,0.22322506354795035,0.1546068593520755,0.3457578950711817,0.32688644143349416,0.3381449563047302,0.2898445837676334,0.3284994317189365,0.2870675921508203,0.2548726419769622,0.31590069316009056,0.8898627349670647,0.5641931488257432,0.6676023472357969,0.8718658213820439,0.5374248159976164,0.38136422324675034,0.45104216666491886,0.5130270379067434,0.3267340579651687,0.3097464190601136,0.32507647101418075,0.2809104150767553,0.3271723240526925,0.23807098445602057,0.17393626513908267,0.3117253818339957,0.3072970269711115,0.26737711894192534,0.24649421217792497,0.2902446817616584,0.32643207277165703,0.33572430021514155,0.2595951561071997,0.27557672920421283,0.3552047049653161,0.35266298028770876,0.2958405953595824,0.3176812883693848,0.32890969975474676,0.21591035413870682,0.18198346724732814,0.30976436182425904,0.3104553122589461,0.31396153778848407,0.23640826179012023,0.2666053486872658
branch-loads_std,0.2351079334554873,0.5033630133688276,0.48512776234258903,0.0772920382168549,0.7165948535672951,,0.8742724676492886,0.6572138907818489,0.23510890241823967,0.5033639130478954,0.4851194278619062,0.07729368041239733,0.7147662845584626,0.9647226609086132,0.78514489497794,0.658353755242899,0.3889919526726071,0.43639779729179085,0.43539980803482903,0.3601312313332759,0.20407775560585784,0.23181098308564918,0.28311541233620113,0.2052841199324913,0.17005989215276035,0.26866607201928333,0.30820306224867317,0.1521815699956698,0.3823729362094285,0.5058370349159103,0.44972217144358306,0.3089742887521752,0.05362937846512838,0.17228675837188093,0.21219958671245628,0.026187191252191766,0.6330961584380216,0.7471465492966762,0.6776139824286278,0.5719341137030866,0.08235814075093068,0.17623045967864726,0.20080167989205255,0.07264922918662313,0.2818284749322995,0.5247506033884177,0.46227981272556534,0.19921625794896483,0.6164665392881407,0.7457694070828335,0.5949325658434065,0.5559309398902598,0.06665167302436706,0.24112968988913003,0.26863688430285526,0.018014965696466365,0.1520397092038701,0.24556667513336622,0.2690373233034961,0.079043705475606,0.18362455906673975,0.3486353887109261,0.38177730375642277,0.16647083047085826,0.6342786249610853,0.739919894731783,0.668227162427824,0.5585832982315068,0.28081809022753634,0.5150268609016128,0.4473078899158816,0.20600451829009342,0.160976738178612,0.2893094821065262,0.301879541810742,0.09038170880203963,0.21277624044273716,0.16895977243465987,0.18068684306270652,0.22892983051921775,0.1519546108530283,0.30184409289617953,0.34903185597303704,0.11612160364752205,0.174248966642992,0.20627153642866586,0.23749828036363366,0.16806715778302736,0.1749771089871515,0.2157702346161595,0.25161353053617386,0.1772032082387991,0.20241977347185092,0.14843014120397796,0.21240455089432211,0.22160470475720856,0.1545030565645945,0.17426304741917623,0.2274715214059322,0.16858146080971861
branch-loads_max,0.28603116034909226,0.38072380532120353,0.4893679623625596,0.1910742025539226,0.7699144060558019,0.8742724676492886,,0.7100710597910848,0.2860315090912263,0.3807266422287684,0.489366821472372,0.1910731496554184,0.7631449627500897,0.815300341690617,0.8096661834792497,0.7071981254375044,0.46258378135640316,0.2284574596340682,0.4626133036482273,0.4265239905998367,0.2390573899692914,0.23068755549812317,0.2677087331090351,0.2304236123897209,0.217220954349056,0.2566291603867291,0.3145496437019199,0.20558777806785877,0.4524402610866196,0.32743431883094026,0.4772195858669767,0.38888901415233246,0.12044792798750824,0.20319564464639994,0.25264824166097194,0.0973522606438696,0.6687557369373466,0.6203424675383902,0.6725708942192162,0.6198815050344632,0.14546771034843203,0.20919295580731145,0.229891944068403,0.13377198510456337,0.3328503323204028,0.4345623878846957,0.47006906691496025,0.26629313257559817,0.6556442103881143,0.5937518589818456,0.5970055848902149,0.6025601041070706,0.13023557811615222,0.24138511692125086,0.26900601677033525,0.09187838336054366,0.19334317538142595,0.23516125428376405,0.26200417298337664,0.14212153006262723,0.22664239165554875,0.3107348949752337,0.3610543436776742,0.20874291396309547,0.6721358731910687,0.6148665153321655,0.6634150839454657,0.6137168289139672,0.3331229933716673,0.4273013547091856,0.4545233751581504,0.2699748038219247,0.20794532139024338,0.2750482764351988,0.31065569344321725,0.15722431410167031,0.2316343183635076,0.16489321224476194,0.16992137403380098,0.23646699210203984,0.20779945826853338,0.2906165002432854,0.34266219301438317,0.18203965525806384,0.2019937614208576,0.20947672114129864,0.22797047107768895,0.19276346071532394,0.21066816674739902,0.2071494575057287,0.23854264267065595,0.2106051124408597,0.2226084371045679,0.14356499082893764,0.19465192653528232,0.22700733087162184,0.18343208035655378,0.1724156456378843,0.20594340311859524,0.19019754711256756
branch-loads_med,0.4260983276657517,0.1529298540187009,0.2656468433047146,0.43798493472596356,0.9815083192914087,0.6572138907818489,0.7100710597910846,,0.42609778828778566,0.15293091574731865,0.2656429568274565,0.43798778376767383,0.9779983165052988,0.6525600019201198,0.676170078497571,0.9945265682719421,0.6494419650141078,-0.11977834156593015,0.3767713309205243,0.6514953234543645,0.3609862374435123,0.3463743218856001,0.2891182331183661,0.3267079137096472,0.3591598057307286,0.3174639616699465,0.3195708434752328,0.34016115517478074,0.6783414740389617,0.04564409312122979,0.35180418637498506,0.6789733064050715,0.17468661878916292,0.18177544110858732,0.19613301131479757,0.15933438695703547,0.87282679886364,0.5155532515334244,0.6291827696488155,0.8939003300103765,0.20818228416869575,0.21561727798144475,0.192723843593704,0.18963748605375086,0.5350945618224465,0.33744763509694103,0.41918576974693894,0.5337505859883903,0.8817428890761742,0.4692468553420115,0.5179294878145686,0.8984518243238,0.19179343930396078,0.22364433647109316,0.22632334712498084,0.16184407288684755,0.36530588169288125,0.33943399121418083,0.34158954608444675,0.3078580078004041,0.3387394226256467,0.26894167742228925,0.21568920481542087,0.3318629926747345,0.8764732643863052,0.5163839255483536,0.6253213860513562,0.8888720646454679,0.535421731353184,0.3364887685481165,0.4117424220408807,0.5364702273555487,0.3441512403524798,0.3178894920404831,0.32315608280897545,0.29978517111046127,0.33365512246317197,0.23643352860776376,0.1632669685818478,0.3197182002565229,0.3160011283440611,0.2541478334914295,0.2154863423672679,0.30205668647171846,0.33614169013486106,0.3391881881235478,0.252528761633279,0.2853392449240538,0.36954265152271315,0.36049770704358713,0.2928504180780158,0.3321224878196155,0.3377833743475682,0.2154198088161001,0.16677599010574617,0.31945692355042105,0.3208927223831429,0.3183408737163892,0.23052308284749748,0.2755876470289336
branch-misses_mean,0.9999999999740422,0.5569422398597492,0.6494983281950578,0.8958575946376427,0.44617764882180505,0.2351089024182397,0.2860315090912264,0.42609778828778566,,0.5569437870585154,0.6494853700777736,0.8958605690732832,0.4427104978796457,0.21794022019853662,0.23471265445525633,0.4232254544484247,0.7606100808097843,0.13151716503412852,0.5346993508336262,0.7301605749669161,0.35997977422614735,0.41079720231017913,0.30976804583719725,0.3057800677057245,0.34569243065901073,0.369177751355362,0.3587319001992557,0.28770741427844676,0.7901213246661473,0.31900449097935485,0.5227371798442635,0.72528249074202,0.15253776542315986,0.18420826540730714,0.17435161858460196,0.13228618927599053,0.47929226836975997,0.3148958099083451,0.3549179436054693,0.4397572747906686,0.18436905488803948,0.22235054978281812,0.1978355954620093,0.15739801583085494,0.613592918567415,0.2989721802560006,0.3498519542874635,0.5959187940608892,0.4884387864340593,0.2702098958114261,0.2812668801672717,0.47054374672959937,0.16144493207051003,0.17103557836665584,0.15294509057459674,0.1338271864716205,0.39963054247725194,0.40515656350692325,0.4059413438672504,0.30322413962534184,0.3291628928405694,0.354197502560939,0.3173441187951296,0.28857173746569903,0.4800201306001262,0.3064751323354042,0.3409681297218014,0.44589640147872917,0.6152785859305421,0.2866539748081546,0.33101522518112547,0.5983430406758684,0.36406850659398277,0.358600650857631,0.35114247858193465,0.2916329924803305,0.3226600286533271,0.2895315308341584,0.17740699400807927,0.2768172653832157,0.3116938999041764,0.3341764995811705,0.3025883260026557,0.26427329368944114,0.3267029160116552,0.38976125388963545,0.2904634142946843,0.23231910545417458,0.35156788622111335,0.4204653213595555,0.3244407450456733,0.28073143646318527,0.3266837535721953,0.2523030625798038,0.18412095103503537,0.29488022527783186,0.31118360152235625,0.36423759181680565,0.2547407252723617,0.2450649184800509
branch-misses_std,0.5569412688500269,0.9999999984685923,0.8747550556538347,0.2156480254712741,0.22285949172575384,0.5033639130478954,0.3807266422287684,0.15293091574731865,0.5569437870585154,,0.8747478352674017,0.215654709741153,0.22137950543827353,0.4819204236278677,0.3169195769911835,0.15231377530945192,0.4093601621814532,0.7113392599241445,0.545725708028806,0.35046295814664297,0.16402213271580124,0.1811768926080797,0.2252808379530448,0.16585597374276662,0.1592689177566536,0.29487296289236287,0.3368167404885082,0.11855842737584556,0.40151131061136347,0.7844213631274283,0.5695330055892135,0.27085925532756583,0.08917652358566623,0.19510102428773538,0.21013967817960133,0.06836157855563217,0.3143257243884985,0.608131506828705,0.46626906506180565,0.1932471237098803,0.10795987592778974,0.18394033968253423,0.20004866791256226,0.10072436132199618,0.3154229700306301,0.519375961740222,0.403419655828936,0.2249894839605449,0.28835596559911086,0.54953875650337,0.3744145225490358,0.2072384581852586,0.09091516558760497,0.20260814328395485,0.20637834107301625,0.056369386034832485,0.1466367146324901,0.27335776877684886,0.29015186844359325,0.04177528140909496,0.18710524291136127,0.3588383530464529,0.44293847444344614,0.16118133958499484,0.31413008458903635,0.5936712170915197,0.44805667582782227,0.19699799365272036,0.3156619639008979,0.502087577170378,0.3791193443361503,0.2291567003993901,0.17296578548736252,0.31627619828316517,0.32575012411238696,0.08549717566966748,0.16203388116103315,0.11508889916278221,0.11245341761413574,0.16867566072802645,0.16981230601632186,0.35176507312503996,0.4204739663030019,0.11972243408883322,0.13670935048402888,0.1772218293777814,0.2185759025959593,0.11763042773441253,0.14203734594846346,0.1893759998808149,0.22093058550845693,0.137644588112425,0.1505373414968261,0.08534550796180937,0.15332862442024145,0.1764083104870267,0.1230567843306519,0.14445496929606227,0.1974302501839809,0.13756379967717372
