source_file,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36,data_37,data_38,data_39,data_40,data_41,data_42,data_43,data_44,data_45,data_46,data_47,data_48,data_49,data_50,data_51,data_52,data_53,data_54,data_55,data_56,data_57,data_58,data_59,data_60,data_61,data_62,data_63,data_64,data_65,data_66,data_67,data_68,data_69,data_70,data_71,data_72,data_73,data_74,data_75,data_76,data_77,data_78,data_79,data_80,data_81,data_82,data_83,data_84,data_85,data_86,data_87,data_88,data_89,data_90,data_91,data_92,data_93,data_94,data_95,data_96,data_97,data_98,data_99,label
123freesolitaire-v1201-setup.exe.extracted.csv,50108212,46105216,46811010,47608181,49045954,43985624,46590373,44884608,45986106,50110827,46194947,45776580,43183787,39516286,46504223,45918604,52221664,45616756,52297791,51102504,55805398,52341320,50063005,55802989,47774421,54544070,61596535,26332288,391854,305563,177583,327824,4768052,8257494,9329199,8142930,10384865,8316109,8795576,9464048,8218072,10359087,8045905,9592605,9053741,1589639,313122,782651,457761,261232,186473,305855,164674,394320,119066,14229442,9568454,9530896,8188491,8438436,10378316,7994677,9277814,8162734,9182961,7994569,8600158,9415371,8107187,9588491,10849436,7208422,4148181,1796059,120800,280401,2591310,324549,480573,261324,180267,316456,217573,1957589,132625,296303,513354,250855,352650,239281,206395,316054,160254,435646,1062574,229806,2270805,278674,419146,0
2011122314.exe.extracted.csv,27508719,38261819,30620719,30219960,30493841,30718638,34649432,30640528,36488010,24682088,278834,262388,369346,1810946,323689,5313825,3081462,327852,332934,160204,242542,244883,332150,870955,497125,210789,429205,229910,301461,2183235,5673003,4209313,4374608,5854998,5833281,4267586,6316854,8908124,8077323,9520615,8201226,10244922,3012015,1565285,309350,285072,455167,652999,316459,120034,298560,21721936,13628845,10362114,8246311,9261806,8063747,9422400,8713623,8449477,9402285,8135418,9503328,11623724,9216459,9952757,18591086,18279003,8280826,9384744,2976098,253426,388128,2207991,314427,289348,363561,219843,380160,169147,1810115,231000,307802,397110,477278,198703,335464,246920,274537,180009,352823,1048483,312110,622863,221607,287136,226361,385685,175429,0
360.exe.extracted.csv,16656524,7518717,35855535,44486619,7856216,13149455,3376133,1345589,3471429,4502376,2457962,7865950,2630257,33265466,8549284,36479498,20398831,12409652,37976093,36398524,41058373,40739033,16591439,9869586,8106608,9434641,9673287,8553306,8955355,8272432,9453166,8017085,393948,140175,393927,107694,2215561,6323134,456178,206004,925155,1521626,357862,7560457,28250123,30786772,27204893,8874281,9250471,11472850,12567741,9795896,8244285,9544040,8327851,9503425,9324527,8277973,9770246,8453341,9710250,8270369,459160,333147,411393,136137,477394,192770,371301,205132,306738,1551213,349666,111677,663141,129721,3155596,184376,406499,201909,304041,334595,342142,172232,378330,119673,455786,200186,388221,295982,955889,232875,338562,114779,335542,152248,1088892,218398,405931,0
430468_intl_i386_zip.exe.extracted.csv,41892099,8782686,873490,195848,425169,323773,320152,232464,760333,7324953,12310408,9317924,8184460,10006021,8189163,8567279,9629843,8002333,12266113,8078628,10130400,8402914,13838883,9316939,7840216,9350449,8082622,9914286,8092333,8493861,8919962,8182044,9270052,8104222,9961960,8043254,9284764,8084000,10088224,7244040,173526,316256,1027999,475106,211577,296575,1182757,240046,777699,1870315,163885,314344,172611,282450,198221,294714,314347,1588389,1376436,525988,112038,637716,172297,920975,513169,248134,150067,246423,381928,442416,112119,725778,5783663,311929,259406,269095,152310,280948,834836,568648,119151,283741,161214,362796,441955,261032,383242,365758,239554,438438,125476,261938,192954,319554,279672,1174457,138324,1180990,197893,0
7CONIFIER_zh-CHS.exe.extracted.csv,8462251,923862,5923450,11040349,2720586,8865916,5749731,7674799,13904104,18412932,12672724,30453651,37484815,26626197,25186089,23340298,17700413,24104500,13453013,9702351,5728390,26736839,17065067,43137506,34777901,54829426,47007382,52542322,27583745,16198483,18194674,37922462,17046529,25201552,18232619,39606947,10619070,29190341,8632877,9493480,8126399,7958005,1336375,1143900,438279,335703,264933,424850,756849,131613,349337,1450767,432681,342773,854740,1231048,356282,381238,256945,379259,338296,8419890,1808866,189411,251500,361143,253282,336497,223845,4783927,1425574,174074,392396,148278,246692,821747,328889,429834,230785,188062,295609,244544,447970,452320,138941,479264,138218,455243,112216,308336,173348,297718,315862,1167623,110585,1227772,196645,474919,101473,0
7z1602-x64.exe.extracted.csv,13134234,5210725,842096,335353,328209,215783,479035,203883,2334727,4172710,8650246,2912231,3095210,2846451,3226210,6119684,9810136,8391509,7340315,4494630,3608594,10048076,6518237,5201744,4204739,4103363,6309299,6467330,4821173,4278515,4331844,3413933,3978987,7257566,6970272,4340916,5559145,4530997,6141033,433025,1289684,200710,302549,175709,347705,1111784,291368,804494,2008668,443610,335399,165965,347923,143263,371187,329379,2692938,239592,3415317,668127,298814,538554,311083,340976,389097,202527,264707,376819,311494,327225,226559,168731,5773643,798852,417757,185375,270766,760531,363021,396157,353573,145486,291227,280080,563721,302004,320242,333154,288562,345189,262147,172588,176646,328247,203379,1270562,178769,1256307,2609671,0
7z1801-x64.exe.extracted.csv,5280690,5665934,378970,326975,188260,321522,155731,433864,121632,3238212,5006946,9348883,8788223,8813756,5109083,4688799,5144080,5467568,5907059,6499033,7223241,2968475,4660380,8026777,9304249,8069654,9255747,8006002,8573239,11752026,8178121,9551783,8028350,9362597,8865591,9145037,9796624,8165200,9454648,8174982,6780648,384440,203123,703604,261697,267937,226263,454847,481948,699316,2363957,916752,559487,194585,483833,219245,360343,140138,495706,137062,6706822,2044215,347679,258782,255277,147282,343052,180465,831996,185570,3061960,3650197,590368,189734,377690,330046,419451,326675,456588,155974,298894,311110,287081,178794,310209,193139,1298889,103197,1319919,155751,369404,305559,293685,162201,289855,169277,854101,112763,462776,0
ADExplorer.exe.extracted.csv,26056021,27458237,6631826,6920429,1017259,350177,333832,230803,738424,905138,9429760,13426437,8215251,8878614,8989620,8312856,9722545,8714951,13985517,8088802,9575292,11274503,18443456,13486965,7877900,9368837,7992434,9344467,10776338,8117212,9365078,8083499,9291480,8086144,9027025,9065231,8047024,9399696,8202592,9915512,4346955,300286,181485,1176037,114531,427609,1106955,336656,801728,331873,1834640,252024,188403,325835,114200,420700,110871,6749206,1658601,2370962,426398,250830,509050,310097,306927,488283,115231,258898,768264,334039,361440,251054,139667,9081154,6685578,435267,139203,289537,350756,304727,433393,263443,137855,385501,147879,614263,161568,441324,366483,298685,398451,255545,178538,283134,318696,1209475,145028,261955,490449,0
ADExplorer64.exe.extracted.csv,13050238,762585,640559,167827,464108,316253,308337,269505,698825,6040982,12550828,8876126,4504778,4335549,5711087,4498694,7561380,8108681,11762124,8910656,8518694,16439811,8076603,9241277,7973794,9222712,8252711,8617726,9434241,7986381,9550141,8027055,9444456,7941824,8679966,9387656,8152091,9313134,10278049,6810369,509760,378007,323633,1030677,272032,1191772,361217,138143,866035,1545051,530757,222189,284849,184824,237783,263137,455589,1443134,1500449,217658,470965,1207493,288569,172453,559828,459244,144126,252380,370412,464324,105387,4621305,2087023,310512,251966,286188,186132,286000,826789,577704,113867,332056,160081,365313,453248,262116,383427,246600,353088,457023,125268,311895,161553,333684,267403,1185312,154534,257551,1147273,0
ADInsight.exe.extracted.csv,15008882,914272,538564,254477,143685,735725,825649,4695811,169334,273751,359045,374753,336147,389620,272349,2279538,6221769,9798612,13400737,11163207,8207450,8696746,8913294,8671585,9460207,8330188,9359993,8322660,9716152,8000656,7918469,9360498,8146385,9281438,8500789,10289288,8272649,8285697,10071311,7999586,9288813,8544561,9346907,9065188,8010504,9567546,6706045,620009,555264,290705,169240,238337,308958,229907,308632,2758930,1550253,532924,187527,600882,193850,428605,365424,235310,146446,513220,1490811,349484,1976287,2140055,343814,122371,453130,116297,272803,2534877,320793,466073,297354,124354,318298,212421,620263,129884,475292,363934,311277,304258,285054,114715,314319,155453,458609,1046857,247084,2342377,305552,348344,289186,0
